Monthly & Annual Precipitation at Central Park,,,,,,,,,,,,,
Last Updated: 7/8/18,,,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1869,2.53,6.87,4.61,1.39,4.15,4.40,3.20,1.76,2.81,6.48,2.03,5.02,45.25
1870,4.41,2.83,3.33,5.11,1.83,2.82,3.76,3.07,2.52,4.97,2.42,2.18,39.25
1871,2.07,2.72,5.54,3.03,4.04,7.05,5.57,5.60,2.34,7.50,3.56,2.24,51.26
1872,1.88,1.29,3.74,2.29,2.68,2.93,7.83,6.29,2.95,3.35,4.08,3.18,42.49
1873,5.34,3.80,2.09,4.16,3.69,1.28,4.61,9.56,3.14,2.73,4.63,2.96,47.99
1874,5.33,2.04,2.12,8.77,2.24,2.78,5.06,2.43,8.24,1.70,2.30,2.82,45.83
1875,3.17,2.62,3.48,3.08,1.33,2.72,4.89,8.97,1.89,2.85,3.78,2.12,40.90
1876,0.94,4.81,8.79,3.06,3.03,2.66,3.65,2.28,5.28,1.42,3.31,2.54,41.77
1877,2.62,1.24,5.56,2.73,0.95,2.80,5.73,2.77,1.33,8.14,5.62,0.68,40.17
1878,4.46,3.75,3.27,1.97,3.19,3.08,4.62,7.97,4.05,2.43,4.73,5.14,48.66
1879,2.63,2.02,3.41,4.33,2.02,3.15,3.58,7.95,2.37,0.43,2.20,4.92,39.01
1880,2.14,2.12,4.66,2.90,0.62,1.14,8.52,5.23,1.90,2.70,2.46,2.27,36.66
1881,4.80,4.93,5.81,0.95,3.20,5.35,1.25,0.86,0.97,1.60,2.36,4.18,36.26
1882,5.05,3.43,2.53,1.64,4.20,2.52,3.21,1.14,16.85,1.51,1.24,1.95,45.27
1883,2.68,4.21,1.49,3.71,2.83,3.32,3.21,1.82,3.25,4.53,1.52,3.20,35.77
1884,5.22,4.92,4.62,2.82,3.74,4.98,4.74,7.90,0.21,3.75,3.18,6.17,52.25
1885,3.06,4.56,0.90,2.19,1.86,1.32,3.59,5.67,0.41,5.18,4.17,2.46,35.37
1886,3.91,4.89,2.83,3.85,5.40,3.35,2.75,0.95,1.17,3.07,4.42,2.79,39.38
1887,4.42,5.96,3.07,2.79,0.34,7.76,5.29,3.59,1.93,2.43,2.02,4.39,43.99
1888,4.96,3.49,4.62,2.89,5.62,2.60,1.53,7.66,8.16,4.33,4.04,3.42,53.32
1889,4.97,2.21,2.64,5.47,2.89,2.39,11.89,3.28,6.92,2.61,9.97,1.92,57.16
1890,2.29,3.41,5.50,1.85,3.45,4.67,4.49,4.37,4.63,6.56,0.71,3.70,45.63
1891,6.12,4.12,3.61,2.38,2.45,1.48,3.94,4.51,2.49,2.60,2.30,3.55,39.55
1892,4.69,0.94,3.49,2.02,4.22,2.78,3.21,4.16,1.06,0.59,7.14,1.30,35.60
1893,2.33,6.14,3.54,5.19,4.77,2.59,1.13,8.72,1.92,5.30,3.55,3.08,48.26
1894,2.01,3.93,1.35,2.19,3.73,0.98,2.21,1.17,8.68,5.96,4.15,4.65,41.01
1895,5.01,0.46,2.26,3.31,2.02,2.47,4.54,4.16,0.62,4.21,3.83,2.48,35.37
1896,0.96,6.83,5.28,1.27,2.51,5.72,7.41,1.53,4.74,1.74,2.84,1.13,41.96
1897,3.00,2.52,2.39,2.67,5.77,2.95,9.56,3.77,1.81,0.72,4.52,4.87,44.55
1898,4.26,4.22,2.78,3.25,6.72,1.25,4.41,3.47,1.70,6.05,6.72,3.07,47.90
1899,3.97,3.91,5.77,1.74,1.09,2.26,4.47,3.41,6.12,2.13,1.79,1.91,38.57
1900,4.22,5.38,3.49,2.02,3.72,2.20,3.21,4.52,2.50,3.56,4.36,2.01,41.19
1901,1.66,0.55,5.47,6.62,6.43,1.00,7.64,6.55,2.42,2.35,0.99,7.01,48.69
1902,2.27,5.39,4.84,3.03,1.35,6.48,5.59,4.30,4.31,7.16,1.28,6.77,52.77
1903,4.18,4.70,4.23,3.44,0.30,9.78,3.92,6.73,3.67,13.31,0.97,3.09,58.32
1904,2.97,2.21,3.57,3.80,1.88,2.95,4.95,7.85,4.31,2.99,2.20,1.96,41.64
