month,mumps,measles,chickenpox
1931-01,116,750,956
1931-02,177,2010,927
1931-03,288,4858,1585
1931-04,299,6172,1536
1931-05,315,7095,1448
1931-06,329,4238,1272
1931-07,143,907,303
1931-08,50,165,68
1931-09,59,43,62
1931-10,74,54,116
1931-11,110,93,275
1931-12,180,134,565
1932-01,361,146,922
1932-02,556,270,928
1932-03,687,621,925
1932-04,821,1096,1121
1932-05,799,2271,1282
1932-06,901,2537,1142
1932-07,478,1081,411
1932-08,212,288,114
1932-09,153,118,82
1932-10,207,149,220
1932-11,386,594,646
1932-12,576,1183,1069
1933-01,807,1960,1320
1933-02,923,4699,1473
1933-03,1604,9635,2305
1933-04,1475,9573,2094
1933-05,1123,6605,1694
1933-06,662,2697,1043
1933-07,253,601,390
1933-08,116,139,127
1933-09,70,50,56
1933-10,107,55,148
1933-11,147,71,426
1933-12,155,131,890
1934-01,266,133,1500
1934-02,249,168,1442
1934-03,406,431,1799
1934-04,452,652,1556
1934-05,547,1414,1926
1934-06,472,1317,1635
1934-07,213,422,379
1934-08,136,95,90
1934-09,114,47,68
1934-10,137,45,210
1934-11,276,86,667
1934-12,341,205,905
1935-01,688,508,1124
1935-02,935,1576,1192
1935-03,1850,4357,1850
1935-04,1938,6630,1941
1935-05,1806,6813,1505
1935-06,1030,5182,1016
1935-07,472,1975,429
1935-08,151,358,58
1935-09,123,67,78
1935-10,133,136,251
1935-11,195,333,605
1935-12,255,555,817
1936-01,357,1426,970
1936-02,386,4054,860
1936-03,543,7376,977
1936-04,645,8792,1143
1936-05,668,8247,920
1936-06,659,4738,940
1936-07,276,1143,426
1936-08,142,213,193
1936-09,93,87,99
1936-10,82,99,186
1936-11,122,154,525
1936-12,225,219,1085
1937-01,315,235,1220
1937-02,360,365,1157
1937-03,777,1075,1974
1937-04,1070,2253,2301
1937-05,1115,3546,2277
1937-06,1200,3058,1746
1937-07,550,880,413
1937-08,279,247,129
1937-09,154,84,78
1937-10,170,90,160
1937-11,290,136,448
1937-12,488,122,820
1938-01,764,519,1154
1938-02,990,1585,1277
1938-03,1695,5713,1841
1938-04,1738,10018,1981
1938-05,1295,8634,1304
1938-06,1026,6253,1288
1938-07,345,1231,387
1938-08,178,239,114
1938-09,85,75,97
1938-10,115,56,278
1938-11,122,110,604
1938-12,179,171,787
1939-01,266,224,1010
1939-02,326,219,968
1939-03,454,361,1195
1939-04,510,517,1200
1939-05,555,969,1218
1939-06,531,738,1183
1939-07,358,274,334
1939-08,177,110,145
1939-09,131,36,66
1939-10,189,54,252
1939-11,262,60,536
1939-12,398,91,996
1940-01,662,90,1624
1940-02,733,207,1626
1940-03,941,268,1603
1940-04,1229,533,1740
1940-05,1485,1365,1900
1940-06,1406,1906,1424
1940-07,959,1269,711
1940-08,436,307,191
1940-09,233,151,135
1940-10,221,354,302
1940-11,391,1050,612
1940-12,696,2996,1178
1941-01,930,6336,1409
1941-02,899,13226,1218
1941-03,1261,25826,1543
1941-04,1245,22741,1477
1941-05,847,8195,987
1941-06,626,2527,935
1941-07,348,436,495
1941-08,168,100,126
1941-09,132,63,109
1941-10,142,67,197
1941-11,201,55,397
1941-12,399,74,880
1942-01,569,137,1097
1942-02,651,169,1164
1942-03,1024,233,1652
1942-04,1272,404,1800
1942-05,1258,557,1941
1942-06,960,387,1419
1942-07,445,127,444
1942-08,201,60,136
1942-09,138,34,70
1942-10,117,45,171
1942-11,162,49,424
1942-12,272,59,660
1943-01,395,232,1050
1943-02,552,877,1177
1943-03,926,2174,1559
1943-04,1062,3855,1513
1943-05,1070,5724,1371
1943-06,846,5760,1042
1943-07,355,1759,205
1943-08,172,453,67
1943-09,109,142,83
1943-10,94,300,143
1943-11,184,676,469
1943-12,245,1675,611
1944-01,324,2567,745
1944-02,433,5242,1039
1944-03,752,8498,1389
1944-04,845,5458,1284
1944-05,859,2779,1288
1944-06,671,1151,871
